Territorio,Año,Área geográfica,Sexo,Edad,Población
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,98,438
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,99,345
Total Nacional,2018,Centros Poblados y Rural Disperso,Hombres,100+,1306
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,0,105462
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,1,107101
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,2,108341
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,3,109857
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,4,111788
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,5,114035
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,6,115821
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,7,117174
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,8,118138
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,9,119471
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,10,121035
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,11,122659
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,12,122262
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,13,121124
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,14,119536
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,15,116878
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,16,114173
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,17,110457
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,18,105793
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,19,101192
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,20,96991
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,21,92469
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,22,89503
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,23,87452
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,24,85521
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,25,83270
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,26,80869
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,27,78702
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,28,76927
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,29,75290
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,30,74346
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,31,73563
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,32,73142
Total Nacional,2018,Centros Poblados y Rural Disperso,Mujeres,33,72502
