Codigo_DIVIPOLA|Departamento|Sector|Tipo_registro|Año|Estado_dato|Valor_miles_millones_COP|Unidad|Fuente
11|Bogotá D.C.|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2011|Definitivo|10.9480532048409|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
11|Bogotá D.C.|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2012|Definitivo|11.2387143602541|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
11|Bogotá D.C.|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2013|Definitivo|11.0291511075345|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
11|Bogotá D.C.|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2014|Definitivo|11.5181323201223|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
11|Bogotá D.C.|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2015|Definitivo|12.4722131359878|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
11|Bogotá D.C.|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2016|Definitivo|14.1375033417762|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
11|Bogotá D.C.|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2017|Definitivo|13.4519935123825|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
11|Bogotá D.C.|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2018|Definitivo|14.1960674731008|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
11|Bogotá D.C.|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2019|Definitivo|14.727072472604|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
11|Bogotá D.C.|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2020|Definitivo|15.7776316299764|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
11|Bogotá D.C.|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2021|Definitivo|19.3962045322022|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
11|Bogotá D.C.|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2022|Definitivo|26.991915833079|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
11|Bogotá D.C.|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2023|Definitivo|29.4179331273027|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
11|Bogotá D.C.|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2024|Provisional|32.9850957680218|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
11|Bogotá D.C.|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2025|Preliminar|34.6595108432553|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
